agency_name,town,website,contact_page_url,region_focus,status,notes
William H Brown,Southampton,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Southampton,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Southampton,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Southampton,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Southampton,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Portsmouth,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Portsmouth,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Portsmouth,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Portsmouth,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Portsmouth,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Bournemouth,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Bournemouth,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Bournemouth,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Bournemouth,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Bournemouth,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Poole,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Poole,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Poole,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Poole,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Poole,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Bristol,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Bristol,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Bristol,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Bristol,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Bristol,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Bath,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Bath,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Bath,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Bath,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Bath,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Exeter,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Exeter,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Exeter,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Exeter,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Exeter,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Plymouth,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Plymouth,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Plymouth,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Plymouth,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Plymouth,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Taunton,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Taunton,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Taunton,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Taunton,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Taunton,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Cheltenham,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Cheltenham,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Cheltenham,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Cheltenham,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Cheltenham,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Gloucester,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Gloucester,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Gloucester,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Gloucester,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,Gloucester,https://www.town-property.com,https://www.town-property.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Birmingham,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Birmingham,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Birmingham,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Birmingham,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,Birmingham,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Coventry,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Coventry,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Coventry,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Coventry,https://www.hunters.com,https://www.hunters.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Coventry,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Leicester,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,Leicester,https://www.town-property.com,https://www.town-property.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Leicester,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Leicester,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Leicester,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Nottingham,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,Nottingham,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Nottingham,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Nottingham,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Nottingham,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Derby,https://www.hunters.com,https://www.hunters.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Derby,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Derby,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Derby,https://www.martinco.com,https://www.martinco.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Derby,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Sheffield,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Sheffield,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Sheffield,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Sheffield,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Sheffield,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Leeds,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Leeds,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Leeds,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Leeds,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Leeds,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,York,https://www.martinco.com,https://www.martinco.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,York,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,York,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,York,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,York,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Manchester,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Manchester,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Manchester,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Manchester,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Manchester,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Liverpool,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Liverpool,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Liverpool,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Liverpool,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Liverpool,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Chester,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Chester,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Chester,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Chester,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Chester,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Preston,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Preston,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Preston,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Preston,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Preston,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Newcastle upon Tyne,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Newcastle upon Tyne,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Newcastle upon Tyne,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Newcastle upon Tyne,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Newcastle upon Tyne,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Durham,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Durham,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Durham,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Durham,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Durham,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Cambridge,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Cambridge,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Cambridge,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Cambridge,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Cambridge,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Norwich,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Norwich,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Norwich,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Norwich,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Norwich,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Ipswich,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Ipswich,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Ipswich,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Ipswich,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Ipswich,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Colchester,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Colchester,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Colchester,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Colchester,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Colchester,https://www.hunters.com,https://www.hunters.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Chelmsford,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Chelmsford,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,Chelmsford,https://www.town-property.com,https://www.town-property.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Chelmsford,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Chelmsford,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,St Albans,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,St Albans,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,St Albans,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,St Albans,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,St Albans,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Milton Keynes,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Milton Keynes,https://www.hunters.com,https://www.hunters.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Milton Keynes,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Milton Keynes,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Milton Keynes,https://www.martinco.com,https://www.martinco.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Northampton,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Northampton,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Northampton,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Northampton,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Northampton,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Peterborough,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Peterborough,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Peterborough,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Peterborough,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Peterborough,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Lincoln,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Lincoln,https://www.martinco.com,https://www.martinco.com/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Lincoln,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Lincoln,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Lincoln,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,UK,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
